,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
265,201506,EQUINIX INC,763510,3005944,EQIX,665582000.0,139133000.0,59459000.0,1.04,1.03,0.0,7826018000.0,1330118000.0,817732000.0,336133000.0,2202590000.0,445274000.0,-498376000.0,-218356000.0
263,201509,EQUINIX INC,724722,2650775,EQIX,686649000.0,140883000.0,41132000.0,0.72,0.71,0.0,7705666000.0,1242023000.0,1464114000.0,335469000.0,1488653000.0,659675000.0,-605931000.0,-319768000.0
252,201512,EQUINIX INC,638218,2110509,EQIX,2725867000.0,567342000.0,187774000.0,3.25,3.21,0.0,10356695000.0,3259280000.0,1656354000.0,2228838000.0,2745386000.0,894793000.0,-1134927000.0,1873182000.0
251,201603,EQUINIX INC,768679,2324330,EQIX,844156000.0,112688000.0,-4213000.0,-0.46,-0.46,0.0,13495835000.0,2168341000.0,1580195000.0,633758000.0,4819105000.0,104270000.0,-1322787000.0,-376368000.0
257,201606,EQUINIX INC,830115,2140962,EQIX,900510000.0,151655000.0,44711000.0,0.64,0.64,0.0,13269045000.0,2095429000.0,1559779000.0,483160000.0,4705465000.0,383098000.0,-1575717000.0,-546293000.0
259,201609,EQUINIX INC,648298,1799578,EQIX,924676000.0,169941000.0,51450000.0,0.73,0.72,0.0,13097557000.0,1660484000.0,1495566000.0,987915000.0,4623710000.0,717270000.0,-1239697000.0,-737399000.0
261,201612,EQUINIX INC,683612,1912684,EQIX,3611989000.0,618739000.0,126800000.0,1.81,1.79,7.0,12608371000.0,1467526000.0,1028695000.0,748476000.0,4365829000.0,1016580000.0,-1592155000.0,-894292000.0
267,201703,EQUINIX INC,573114,1431461,EQIX,949525000.0,167213000.0,42062000.0,0.58,0.57,0.0,17184684000.0,5574017000.0,1020068000.0,4923259000.0,6517839000.0,247371000.0,-314359000.0,4225246000.0
250,201706,EQUINIX INC,546600,1273652,EQIX,1066421000.0,184895000.0,45805000.0,0.59,0.58,2.0,17473937000.0,1849624000.0,1091435000.0,1063777000.0,6523663000.0,553844000.0,-4253082000.0,4012349000.0
266,201709,EQUINIX INC,568431,1273652,EQIX,1152261000.0,224863000.0,79900000.0,1.02,1.02,2.0,18308496000.0,2443808000.0,1156624000.0,1599988000.0,6542217000.0,944354000.0,-4616830000.0,4508974000.0
253,201712,EQUINIX INC,508753,1122529,EQIX,4368428000.0,809014000.0,232982000.0,3.03,3.0,8.0,18691457000.0,2249128000.0,1242734000.0,1412517000.0,6849790000.0,1439233000.0,-5400826000.0,4607860000.0
282,201306,FACEBOOK INC,245432,9864619,FB,1813000000.0,562000000.0,331000000.0,0.14,0.13,0.0,15724000000.0,11421000000.0,1080000000.0,3001000000.0,12349000000.0,2041000000.0,-824000000.0,-593000000.0
292,201309,FACEBOOK INC,383556,7635995,FB,2016000000.0,736000000.0,422000000.0,0.17,0.17,0.0,14933000000.0,10549000000.0,984000000.0,3100000000.0,13048000000.0,2991000000.0,-90000000.0,-2192000000.0
279,201312,FACEBOOK INC,163971,3000441,FB,7872000000.0,2804000000.0,1491000000.0,0.62,0.6,0.0,17895000000.0,13070000000.0,1100000000.0,3323000000.0,15470000000.0,4222000000.0,-2624000000.0,-667000000.0
284,201403,FACEBOOK INC,120480,2000000,FB,2502000000.0,1075000000.0,639000000.0,0.25,0.25,0.0,19028000000.0,14060000000.0,1037000000.0,2998000000.0,16737000000.0,1285000000.0,-1872000000.0,262000000.0
281,201409,FACEBOOK INC,682788,8638513,FB,3203000000.0,1397000000.0,802000000.0,0.31,0.3,0.0,24188000000.0,16115000000.0,1234000000.0,8999000000.0,21238000000.0,3874000000.0,703000000.0,1170000000.0
289,201412,FACEBOOK INC,1053474022,13502615,FB,12466000000.0,4994000000.0,2925000000.0,1.12,1.1,0.0,40184000000.0,13670000000.0,1424000000.0,4315000000.0,36096000000.0,5457000000.0,-5913000000.0,1571000000.0
286,201503,FACEBOOK INC,666511,8106922,FB,3543000000.0,933000000.0,509000000.0,0.18,0.18,0.0,42007000000.0,15004000000.0,1746000000.0,3419000000.0,37501000000.0,1700000000.0,-2844000000.0,371000000.0
294,201506,FACEBOOK INC,837214,9761722,FB,4042000000.0,1273000000.0,715000000.0,0.26,0.25,0.0,44130000000.0,16951000000.0,1881000000.0,5123000000.0,39452000000.0,3580000000.0,-3408000000.0,713000000.0
